Dia,Depressão: (Estados Unidos),Ansiedade: (Estados Unidos),Suicídio: (Estados Unidos),Insônia: (Estados Unidos),Saúde mental: (Estados Unidos)
2020-02-15,35,46,35,8,23
2020-02-16,37,48,37,7,26
2020-02-17,43,54,38,9,39
2020-02-18,46,60,36,10,50
2020-02-19,47,60,43,11,48
2020-02-20,46,55,41,9,46
2020-02-21,41,50,38,8,43
2020-02-22,36,46,36,7,26
2020-02-23,40,47,35,7,29
2020-02-24,44,58,35,10,48
2020-02-25,46,57,36,10,47
2020-02-26,45,57,35,9,46
2020-02-27,43,54,35,9,46
2020-02-28,39,51,31,8,40
2020-02-29,34,46,32,7,26
2020-03-01,36,46,34,7,27
2020-03-02,42,54,34,10,45
2020-03-03,44,54,33,8,42
2020-03-04,42,54,36,9,43
2020-03-05,42,54,39,8,45
2020-03-06,40,49,37,8,38
2020-03-07,35,46,28,8,27
2020-03-08,37,46,29,6,25
2020-03-09,43,54,35,10,42
2020-03-10,42,51,35,10,43
2020-03-11,39,52,33,9,41
2020-03-12,35,48,29,7,35
2020-03-13,27,43,26,6,30
2020-03-14,27,44,26,6,22
2020-03-15,28,44,26,6,23
2020-03-16,28,48,23,7,32
2020-03-17,26,45,22,6,32
2020-03-18,28,48,23,6,33
2020-03-19,33,48,24,6,30
2020-03-20,31,52,22,7,29
2020-03-21,29,48,23,7,23
2020-03-22,30,49,25,7,23
2020-03-23,31,55,25,8,34
2020-03-24,32,54,27,8,33
2020-03-25,29,53,30,8,34
2020-03-26,32,54,29,9,34
2020-03-27,31,53,29,8,31
2020-03-28,33,51,30,8,22
2020-03-29,31,54,32,9,26
2020-03-30,32,54,32,9,36
2020-03-31,33,55,30,10,33
2020-04-01,29,56,33,9,34
2020-04-02,35,51,30,10,34
2020-04-03,34,52,29,9,33
2020-04-04,34,50,30,9,25
2020-04-05,35,51,30,8,26
2020-04-06,35,52,30,10,36
2020-04-07,35,53,33,11,37
2020-04-08,36,53,30,10,35
2020-04-09,36,49,29,10,35
2020-04-10,36,50,26,10,32
2020-04-11,34,45,31,9,25
2020-04-12,35,44,31,9,23
2020-04-13,37,52,29,9,35
2020-04-14,39,52,28,11,37
2020-04-15,35,49,28,10,35
2020-04-16,38,49,27,9,36
2020-04-17,34,46,29,9,34
2020-04-18,34,47,32,9,26
2020-04-19,37,47,31,11,26
2020-04-20,37,52,29,10,38
2020-04-21,38,50,29,10,36
2020-04-22,36,51,30,11,36
2020-04-23,35,50,30,10,38
2020-04-24,35,45,29,10,36
2020-04-25,34,47,30,10,26
2020-04-26,35,49,31,10,28
2020-04-27,40,52,36,10,38
2020-04-28,41,53,57,10,40
2020-04-29,40,54,41,10,39
2020-04-30,40,52,37,10,39
2020-05-01,36,47,30,8,43
2020-05-02,34,48,32,10,32
2020-05-03,37,49,29,10,32
2020-05-04,37,51,29,10,42
2020-05-05,37,50,30,10,44
2020-05-06,38,51,34,10,41
2020-05-07,37,51,33,9,41
2020-05-08,36,49,31,9,38
